Account,Customer Name,Product,Description,EAN,CaseSize,InnerSize,Price,Qty,Value,Prod Weight (kgs),Prod Height (cm),Prod Width (cm),Prod Length (cm),CaseBarcode,InnerBarcode
TO00041,LYNDA MILES T/AS MILES APART,FLTW,DECS FOIL - LANTERN 2 TIER (48CM),5012128408434,48,12,0.31,48,14.88,0.02,27.5,22,0.5,5024004681985,5024004681992
TO00041,LYNDA MILES T/AS MILES APART,FNBL,"8X10"" FLAT MIRROR BLACK & WHITE",5012128402210,6,0,1.2,12,14.4,0.48,2,23.5,28.5,5024004673805,
TO00041,LYNDA MILES T/AS MILES APART,FNCAR,FROZEN CARRY ALONG COLOURING SET,5012128424502,12,6,0.55,48,26.4,0.12,17.5,11.5,2,5024004707548,
TO00041,LYNDA MILES T/AS MILES APART,FNWT,"8X10"" PINE WOOD MIRROR",5012128402234,6,0,1.2,12,14.4,0.48,2,23.5,28.5,5024004673843,
TO00041,LYNDA MILES T/AS MILES APART,FRBB,CARDS 12 - TRADITIONAL ROBINS,5012128397332,24,0,0.48,72,34.56,0.16,2,15,15,5024004664605,5024004664612
TO00041,LYNDA MILES T/AS MILES APART,FSNS,CARDS 12 - FAMILY SNOW SCENE,5012128397356,24,0,0.48,72,34.56,0.16,2,15,15,5024004664643,5024004664650
TO00041,LYNDA MILES T/AS MILES APART,FWSN,CARDS 12 PHOTOGRAPHIC FOLIAGE,5012128397318,24,0,0.48,72,34.56,0.16,2,15,15,5024004664568,5024004664575
TO00041,LYNDA MILES T/AS MILES APART,GBID,BAGS GIANT SQ - CUTE BEARS,5012128400919,48,12,0.49,48,23.52,0.26,46.5,45,0.03,5024004671887,5024004671894
TO00041,LYNDA MILES T/AS MILES APART,GDFV,BAGS GIANT SQ - TEXT & ICON,5012128400933,48,12,0.49,48,23.52,0.26,46.5,45,0.03,5024004671924,5024004671931
TO00041,LYNDA MILES T/AS MILES APART,GLVV,CRAFT-250ML WHITE KRAFT GLUE,5012128388651,24,12,0.49,240,117.6,0.3,5.5,5.5,18.5,5024004645994,5024004646007
TO00041,LYNDA MILES T/AS MILES APART,HCHH,HOME CREATE XMAS CHILDS CHEF HAT,5012128412158,48,0,0.48,48,23.04,0.04,25,28,1,5024004688625,N/A
TO00041,LYNDA MILES T/AS MILES APART,HCHP,HOME CREATE XMAS CHILDRENS APRON,5012128412219,48,0,0.52,48,24.96,0.06,33.5,21,0.6,5024004688700,N/A
TO00041,LYNDA MILES T/AS MILES APART,HDHS,DECS - 6 HANGING STARS (3 COLOURWAY),5012128409318,48,0,0.5,96,48,0.04,35.5,7.5,3,5024004683446,
TO00041,LYNDA MILES T/AS MILES APART,HDPG,DECS - BAUBLES 15 X 3CM - SILVER,5012128409257,48,0,0.5,48,24,0.04,49,3.3,3.3,5024004683323,
TO00041,LYNDA MILES T/AS MILES APART,HDRG,DECS BAUBLES 15 X 3CM - GOLD,5012128409264,48,0,0.5,48,24,0.04,49,3.3,3.3,5024004683354,
TO00041,LYNDA MILES T/AS MILES APART,HDRW,DECS  - BAUBLES 15 X 3CM RED,5012128409271,48,0,0.5,48,24,0.04,49,3.3,3.3,5024004683361,
TO00041,LYNDA MILES T/AS MILES APART,HDSC,DECS - STAR & TREE WOOD - GREY,5012128414046,48,0,0.94,48,45.12,0.06,52,14,1.5,5024004690727,
TO00041,LYNDA MILES T/AS MILES APART,HDSF,DECS - 6 HANGING SNOWFLAKES (3 CLRS),5012128409301,48,0,0.5,96,48,0.08,18,12,2.5,5024004683422,
TO00041,LYNDA MILES T/AS MILES APART,HDSQ,DECS - 4 SEQUIN BAUBLES (3 COLOURS),5012128409332,48,0,0.5,48,24,0.04,10,10,5,5024004683484,
TO00041,LYNDA MILES T/AS MILES APART,HDTG,DECS - SFLAKE GARLAND -SILVER & GOLD,5012128413995,48,0,0.5,48,24,0.04,2,11,10,5024004690628,
TO00041,LYNDA MILES T/AS MILES APART,HDTT,DECS - TREE TOPPER (2 COLOURWAYS),5012128414077,48,0,0.5,48,24,0.08,30,15,3.5,5024004690789,
TO00041,LYNDA MILES T/AS MILES APART,HDUX,SS HATS - DELUXE,5012128411830,48,0,0.55,48,26.4,0.06,48,32,5,5024004688106,
TO00041,LYNDA MILES T/AS MILES APART,HECH,SS HATS - EMBROIDERED X 2 DESIGNS,5012128411809,48,0,0.5,48,24,0.04,49,30,2.5,5024004688045,
TO00041,LYNDA MILES T/AS MILES APART,HOI,CRAFT-ACTIVITY CRAFT FUN PACK,5012128099298,48,12,0.5,48,24,0.1,1.5,21,34,5024004099292,5024004583203
TO00041,LYNDA MILES T/AS MILES APART,HTCB,"PEPPERPOT, A6 SPIRAL JOURNAL, HOOT",5012128398698,24,6,1.75,24,42,0.24,2.5,14,16.5,5024004667446,5024004667453
TO00041,LYNDA MILES T/AS MILES APART,IK/2,GLASS CLIP FRAME 11X14IN (28X35CMS),5012128009112,18,6,0.99,36,35.64,0.68,35.5,1,28.5,5024004073360,N/A
TO00041,LYNDA MILES T/AS MILES APART,JANE,STAT-TWIN PACK SLIM NOTEBOOK 50SHS,5012128415753,24,12,0.52,24,12.48,0.2,1.5,9,18,5024004693360,5024004693377
TO00041,LYNDA MILES T/AS MILES APART,JIBB,DEC- BELL BAUBLES (PACK OF 9),5012128414510,48,12,0.5,48,24,0.04,13.5,8.5,2,5024004691168,
TO00041,LYNDA MILES T/AS MILES APART,JMJ/3,STAT- 3 BINGO DABBERS,5012128167393,36,12,0.5,36,18,0.08,1.5,11,19.5,5024004167397,5024004641361
TO00041,LYNDA MILES T/AS MILES APART,KKG/2,STAT COPIER PAPER - 90 SHEET - 70GSM,5012128087370,32,0,0.51,288,146.88,0.4,30,1,21.5,5024004087374,
TO00041,LYNDA MILES T/AS MILES APART,KKG/3,STAT COPIER PAPER - 90SHEET - 70GSM,5012128087370,32,0,0.51,128,65.28,0.4,29.8,21,1,5024004087374,
TO00041,LYNDA MILES T/AS MILES APART,KKNP,TABLEWARE 25 NAPKINS KIDS,5012128404894,24,0,0.48,48,23.04,0.1,23,19.5,1.5,5024004677025,
TO00041,LYNDA MILES T/AS MILES APART,KY/2,GLASS CLIP FRAME 5X7INS  (13X18CM),5012128011252,72,12,0.28,72,20.16,0.16,18.3,1,13.3,5024004073377,N/A
TO00041,LYNDA MILES T/AS MILES APART,LAMP/2,STAT LAMINATING POUCHES PACK OF 15,5012128270086,24,0,0.5,24,12,0.12,0.3,16.5,24,5024004373026,
TO00041,LYNDA MILES T/AS MILES APART,LAUN/3,STAT PENS- 2 LAUNDRY PEN WITH LABELS,5012128323744,24,12,0.46,24,11.04,0.04,21,1.5,10.5,5024004498873,5024004498880
TO00041,LYNDA MILES T/AS MILES APART,LAY/1,STAT-MAILING LABELS-14SH/420 LABELS,5012128144905,48,24,0.5,48,24,0.18,0.3,31,23.3,5024004144909,5024004497975
TO00041,LYNDA MILES T/AS MILES APART,LC/2,GLASS CLIP FRAME 6X8INS  (15X20CMS),5012128012037,60,10,0.39,60,23.4,0.2,20.5,15.5,1.2,5024004073384,N/A
TO00041,LYNDA MILES T/AS MILES APART,LCDW,CARDS -MONEY WLTS 4 DESIGN KNIT CHAR,5012128405297,48,0,0.45,96,43.2,0.08,0.3,18,44.5,5024004677780,
TO00041,LYNDA MILES T/AS MILES APART,LCO/4,"STAT,6X4' PHOTO PAPER,GLOSS,36 SHEET",5012128136467,48,24,0.48,48,23.04,0.14,0.5,19,23,5024004136461,5024004615065
TO00041,LYNDA MILES T/AS MILES APART,LFAP,CREATETHELOOK-8XFASHIONFABRIC PAINTS,5012128390388,36,12,0.53,36,19.08,0.12,2,21.2,23,5024004649534,5024004649541
TO00041,LYNDA MILES T/AS MILES APART,LH/3,GLASS CLIP FRAME A4 CERT 21X29.7CM,5012128012082,24,12,0.59,144,84.96,0.4,30.2,21.5,1.2,5024004073667,N/A
TO00041,LYNDA MILES T/AS MILES APART,LK12/1,ALB - SELF ADHESIVE 40 SHEETS,5012128338533,12,0,3.15,12,37.8,1.12,29.1,6.3,24,5024004535189,N/A
TO00041,LYNDA MILES T/AS MILES APART,LMAT,CREATETHELOOK-DESIGNYOUROWNFASHRANGE,5012128390371,36,12,0.53,36,19.08,0.06,2.5,27.5,15,5024004649510,5024004649527
TO00041,LYNDA MILES T/AS MILES APART,LNO/4,"STAT,A4 PHOTO PAPER,GLOSS,9 SHEET",5012128136450,48,24,0.48,48,23.04,0.18,32.5,0.3,23,5024004136454,5024004614693
TO00041,LYNDA MILES T/AS MILES APART,LOM/4,"STAT,A4 PHOTO PAPER,MATT,9 SHEET",5012128136481,48,24,0.48,48,23.04,0.18,33,0.3,23,5024004136485,5024004615072
TO00041,LYNDA MILES T/AS MILES APART,LS/3,GLASS CLIP FRAME 10X12IN (24X30CMS),5012128012198,24,12,0.74,24,17.76,0.48,31.7,1.2,25.8,5024004073674,N/A
TO00041,LYNDA MILES T/AS MILES APART,LTSS,CARDS MONEY WALLETS X 4 TRADITIONAL,5012128405303,48,0,0.45,96,43.2,0.08,0.3,18,44.5,5024004677803,
TO00041,LYNDA MILES T/AS MILES APART,LTT,"STAT 2 X LETTER TRAY, 2 X COLOURS",5012128572005,12,0,1.99,12,23.88,0.56,5.5,26,32.1,5024004572009,N/A
TO00041,LYNDA MILES T/AS MILES APART,LTT/1,"STAT 2 X LETTER TRAY, 2 X COLOURS",5012128572005,12,0,1.99,12,23.88,0.42,5.5,27,33,5024004572009,N/A
TO00041,LYNDA MILES T/AS MILES APART,LUG,STAT-LUGGAGE  LABELS PACK OF 30,5012128146664,48,0,0.45,48,21.6,0.08,24.5,1,16.5,5024004146668,N/A
TO00041,LYNDA MILES T/AS MILES APART,MA18,ALB - SELF ADHESIVE 36 SHEETS,5012128013010,18,0,2.34,36,84.24,0.6,28,3,21,5024004013014,N/R
TO00041,LYNDA MILES T/AS MILES APART,MCZD,CARDS MONEY WALLETS 4 DESIGNS CUTE,5012128405327,160,80,0.13,320,41.6,0.02,0.3,10,18.5,5024004677827,5024004677834
TO00041,LYNDA MILES T/AS MILES APART,MELM,POLKADOT - 1 X PLASTIC TABLE CLOTH,5012128390944,48,24,0.5,48,24,0.08,0.3,22,40,5024004650998,5024004651001
TO00041,LYNDA MILES T/AS MILES APART,MELN,POLKADOT - 20 X 2PLY NAPKINS,5012128390937,24,12,0.5,24,12,0.08,1.5,19.5,22.5,5024004650974,5024004650981
TO00041,LYNDA MILES T/AS MILES APART,MELS,"POLKADOT - 8 X 9"" PAPER PLATES",5012128390913,24,0,0.5,24,12,0.12,2,24,31,5024004650936,
TO00041,LYNDA MILES T/AS MILES APART,MELU,POLKADOT - 8 X 9OZ PAPER CUPS,5012128390920,24,0,0.38,24,9.12,0.04,8,16,23,5024004650950,
TO00041,LYNDA MILES T/AS MILES APART,MGU/4,STAT PENS-8PEARL/MET GEL PENS,5012128082146,48,24,0.48,96,46.08,0.08,1.3,9,17.5,5024004082140,5024004360231
TO00041,LYNDA MILES T/AS MILES APART,MTER,CARDS MONEY WALLETS 4 DESIGNS CONTEM,5012128405334,160,80,0.13,320,41.6,0.02,0.3,10,18.5,5024004677841,5024004677858
TO00041,LYNDA MILES T/AS MILES APART,MYAL/2,PUZZLE - LETS LEARN ALPHABET,5012128344015,36,18,0.53,36,19.08,0.16,4,31,20,5024004547649,5024004547656
TO00041,LYNDA MILES T/AS MILES APART,MYJS,JEWELLERY- MYO SETS (3 DESIGNS),5012128343926,48,12,0.53,48,25.44,0.08,21,4,10.6,5024004547465,5024004547472
TO00041,LYNDA MILES T/AS MILES APART,MYNU/3,EDUCATIONAL-LEARN NUMBERS PUZZLE,5012128344022,36,18,0.53,36,19.08,0.16,4,16.5,20,5024004547663,5024004547670
TO00041,LYNDA MILES T/AS MILES APART,NECC,STAT- NEON A4 CARRY FOLDERS X3,5012128413643,24,0,0.48,24,11.52,0.06,0.3,24,33.5,5024004690284,
TO00041,LYNDA MILES T/AS MILES APART,NEMI,STAT- NEON MINI HIGHLIGHTERS IN CASE,5012128413650,48,24,0.5,48,24,0.08,2,8,12.5,5024004690307,5024004690314
TO00041,LYNDA MILES T/AS MILES APART,NENB,"STAT-A5 NEON NOTEBOOK, 80SHEETS",5012128413551,24,0,0.98,24,23.52,0.26,1,14.5,21,5024004690185,
TO00041,LYNDA MILES T/AS MILES APART,NEPS,STAT- NEON X4 PENS,5012128413766,48,24,0.48,48,23.04,0.06,1.5,11,23,5024004690444,5024004690451
TO00041,LYNDA MILES T/AS MILES APART,NERB,STAT-NEON RINGBINDER X4 COLOURS,5012128413568,40,0,0.52,40,20.8,0.28,4,25,31.5,5024004690208,
TO00041,LYNDA MILES T/AS MILES APART,NERS,STAT-NEON ASSORT ERASER X12,5012128415418,24,12,0.52,24,12.48,0.16,21.5,1.2,15,5024004692721,5024004692738
TO00041,LYNDA MILES T/AS MILES APART,PAGH,PIRATE - 6 X ERASER TOPS & PENCILS,5012128392641,48,24,0.52,96,49.92,0.14,30,15,1.5,5024004654538,5024004654545
TO00041,LYNDA MILES T/AS MILES APART,PAGR,PIRATE - 6 X MINI NOTEPADS 30 SHTS,5012128392672,48,24,0.5,96,48,0.06,1,29.7,11.7,5024004654590,5024004654606
TO00041,LYNDA MILES T/AS MILES APART,PAHN,PIRATE - 20 X PLASTIC LOOT BAGS,5012128390890,48,24,0.49,96,47.04,0.04,0.02,31,18.5,5024004650899,5024004650905
TO00041,LYNDA MILES T/AS MILES APART,PAHO,PIRATE - 10 INVITES & 10 THANKYOU,5012128390906,48,24,0.49,48,23.52,0.1,1,26.5,15,5024004650912,5024004650929
TO00041,LYNDA MILES T/AS MILES APART,PAHP,PIRATE - 8 X PAPER BOWLS,5012128391187,24,0,0.5,24,12,0.08,4,24.5,21.5,5024004651476,
TO00041,LYNDA MILES T/AS MILES APART,PBOY,PAINT-MAKE YOUR OWN FIGURINES (BOYS),5012128344503,24,0,0.53,96,50.88,0.24,24,4,18.5,5024004548677,
TO00041,LYNDA MILES T/AS MILES APART,PBZ,PAINT - 4 CHUNKY PAINT BRUSHES,5012128516269,48,12,0.5,96,48,0.06,28,1.3,10.5,5024004516263,5024004539262
TO00041,LYNDA MILES T/AS MILES APART,PCAY,PAINT - ALPHABET SPONGES,5012128269523,24,0,0.5,24,12,0.03,2,27.5,32,5024004371909,N/A
TO00041,LYNDA MILES T/AS MILES APART,PCHH,CARDS 12 - PORTRAIT CHURCH SCENE,5012128398001,24,0,0.48,72,34.56,0.14,2,12,19,5024004665985,5024004665992
TO00041,LYNDA MILES T/AS MILES APART,PCLN,CRAFT- 50 PIPE CLEANERS ASSORTED,5012128383991,36,18,0.5,72,36.72,0.06,2,38,13,5024004636008,5024004636015
TO00041,LYNDA MILES T/AS MILES APART,PDIA,CRAFT-30 DIAGNAL STRIPE PIPE CLEANER,5012128393105,36,18,0.5,72,36.72,0.08,3,12.5,36.5,5024004655450,5024004655467
TO00041,LYNDA MILES T/AS MILES APART,PFEN/4,STAT PENS - 4 SOFT GRIP PENS,5012128233593,48,24,0.5,96,48,0.06,1.5,11,21,5024004300022,5024004300039
TO00041,LYNDA MILES T/AS MILES APART,PII/3,CRAFT-18PCS JUMBO PIPE CLEANERS,5012128109454,36,12,0.5,36,18,0.06,1.5,18.5,37,5024004109458,5024004540992
TO00041,LYNDA MILES T/AS MILES APART,PJOB/1,PIRATE - 6 X PLASTIC MEDALS,5012128353222,48,24,0.52,96,49.92,0.04,2,15.5,21,5024004567821,5024004567838
TO00041,LYNDA MILES T/AS MILES APART,PJOH/1,PIRATE - 5 X PLASTIC EYE PATCHES,5012128353260,48,24,0.52,48,24.96,0.04,2,18,15.5,5024004567906,5024004567913
TO00041,LYNDA MILES T/AS MILES APART,PJON/1,PIRATE - 20 X 2PLY NAPKINS,5012128348600,24,12,0.5,24,12,0.08,1.5,16.5,23,5024004557594,5024004557600
TO00041,LYNDA MILES T/AS MILES APART,PJOO/1,PIRATE - 8 X 9OZ CUPS,5012128348594,24,0,0.38,24,9.12,0.04,7.5,24,16,5024004557570,
TO00041,LYNDA MILES T/AS MILES APART,PJOP/1,"PIRATE - 8 X 9"" PAPER PLATES",5012128348587,24,0,0.5,48,24,0.12,2,32,24.5,5024004557556,
TO00041,LYNDA MILES T/AS MILES APART,PJOR/1,PIRATE - 5 X BLOW BUBBLE POTS,5012128348624,48,12,0.5,48,24,0.24,3.5,13,17,5024004557631,5024004557648
TO00041,LYNDA MILES T/AS MILES APART,PJOR/2,PIRATE - 5 X BLOW BUBBLE POTS,5012128348624,48,12,0.5,48,24,0.4,3.7,16.5,21,5024004557631,5024004557648
TO00041,LYNDA MILES T/AS MILES APART,PJOY/1,PIRATE - 1 X PLASTIC TABLE CLOTH,5012128348648,48,24,0.5,48,24,0.1,0.02,40.3,22,5024004557679,5024004557686
TO00041,LYNDA MILES T/AS MILES APART,PJPF/1,PIRATE - 14 X PRINTED BALLOONS,5012128353406,48,24,0.5,96,48,0.02,1,19,22,5024004568262,5024004568279
TO00041,LYNDA MILES T/AS MILES APART,PJPG/1,PIRATE - BANNER PACK,5012128353574,48,24,0.5,48,24,0.08,1,29.5,23.5,5024004568668,5024004568675
TO00041,LYNDA MILES T/AS MILES APART,PLRO,STAT-SOLIDS 10XMINI TAPES,5012128384424,24,12,0.48,24,11.52,0.14,12.5,5,5,5024004636961,5024004636978
TO00041,LYNDA MILES T/AS MILES APART,PLTA,STAT-SOLDS MINI TAPE DISPENSER,5012128384417,24,12,0.5,96,48,0.38,6.3,6,13.5,5024004636947,5024004636954
TO00041,LYNDA MILES T/AS MILES APART,PMBE,"PAINT-PYO MONEY BOX,BEAR,SNAIL,BEE",5012128390357,24,0,0.95,48,45.6,0.3,8.5,16,21,5024004649473,
TO00041,LYNDA MILES T/AS MILES APART,PMOL,PAINT-MAKE YOUR OWN FIGURINES(GIRLS),5012128343025,24,0,0.53,96,50.88,0.24,24,4,18.5,5024004545409,
TO00041,LYNDA MILES T/AS MILES APART,POMG,CRAFT - MIX PK GITTER POM POMS,5012128384035,36,18,0.5,180,91.08,0.04,3,30,12.7,5024004636084,5024004636091
TO00041,LYNDA MILES T/AS MILES APART,POMR,CRAFT - PK ASSORTED RAINBOW POM POMS,5012128384004,36,18,0.5,72,37.08,0.02,3,29,12.7,5024004636022,5024004636039
TO00041,LYNDA MILES T/AS MILES APART,PPSG,CARD HOLDER 24 PEG GLD/SILV,5012128406744,72,0,0.45,72,32.4,0.02,9.5,18.5,1,5024004679760,
TO00041,LYNDA MILES T/AS MILES APART,PPUE,CARD HOLDER 18 PEG NOVELTY,5012128406751,48,0,0.49,48,23.52,0.04,28.5,13.5,1,5024004679784,
TO00041,LYNDA MILES T/AS MILES APART,PRBN,CARDS 12 - PORTRAIT ROBINS,5012128397967,24,0,0.48,72,34.56,0.14,2,12,19,5024004665909,5024004665916
TO00041,LYNDA MILES T/AS MILES APART,PSPQ,GLITTER PRINCESS STAT SET,5012128415487,24,0,0.52,24,12.48,0.1,2,17.5,27,5024004692868,
TO00041,LYNDA MILES T/AS MILES APART,PVI/2,"ACT-COLOURED MIRROR CARD,A4,12 SHEET",5012128109386,36,12,0.5,108,54,0.24,0.5,36.5,24,5024004109380,5024004539750
TO00041,LYNDA MILES T/AS MILES APART,PVIL,CARDS 12 - PORTRAIT WINTER SCENE,5012128398018,24,0,0.48,72,34.56,0.14,2,12,19,5024004666005,5024004666012
TO00041,LYNDA MILES T/AS MILES APART,PVO/3,ACT GOLD&SILVER MIRROR CARD A4 12SH,5012128109393,30,6,0.5,30,15,0.18,0.5,36.5,23.3,5024004109397,5024004646045
TO00041,LYNDA MILES T/AS MILES APART,PVO/4,ACT - GLD&SLV MIRROR CD A4 12SH (TC),5012128109393,12,0,0.5,48,24,0.2,36.5,23,0.5,5024004109397,N/A
TO00041,LYNDA MILES T/AS MILES APART,PVR/2,"ACT- BLACK CARD, A4, 20 SHEETS",5012128109416,36,0,0.52,72,37.44,0.32,1,36.5,23,5024004109410,N/A
TO00041,LYNDA MILES T/AS MILES APART,PVRL/4,STAT-PENS 4 HANDWRITING PENS,5012128263644,48,24,0.5,48,24,0.04,22,11,1.5,5024004360125,5024004360132
TO00041,LYNDA MILES T/AS MILES APART,PVW/1,"ACT-ANIMAL PRINT CARD,A4,20 SHEETS",5012128109409,36,12,0.53,36,19.08,0.32,0.7,22,37,5024004109403,5024004544266
TO00041,LYNDA MILES T/AS MILES APART,PWI/6,"ACT- PASTEL CARD, A4 12 SHEETS",5012128096266,24,0,0.5,216,108,0.16,0.5,36.5,22,5024004096260,
TO00041,LYNDA MILES T/AS MILES APART,PWNT,CARDS 12-PORTRAIT FINE ART,5012128398025,24,0,0.48,72,34.56,0.14,2,12,19,5024004666029,5024004666036
TO00041,LYNDA MILES T/AS MILES APART,PWOD/1,PAINT - MYO WOODEN PUZZLE - 4 DES,5012128195563,24,0,0.82,96,78.72,0.16,23,2.3,17,5024004223499,N/A
TO00041,LYNDA MILES T/AS MILES APART,QWAU/1,STAT-A5 TRIBAL&STRIPE NOTEBK 80SHS,5012128384899,24,0,1,24,24,0.3,1.5,14.5,21,5024004637906,
TO00041,LYNDA MILES T/AS MILES APART,RAO/3,"STAT LEVER ARCH, 4 X MIXED COLOURS",5012128087417,24,0,0.85,72,61.2,0.38,31.7,7.2,28.6,5024004087411,N/A
TO00041,LYNDA MILES T/AS MILES APART,RAO/4,"STAT LEVER ARCH, 3 X MIXED COLOURS",5012128087417,24,0,0.85,24,20.4,0,0,0,0,5024004087411,N/A
TO00041,LYNDA MILES T/AS MILES APART,RAW/4,STAT RINGBINDER 3 X DESIGNS,5012128088155,36,0,0.52,36,18.72,0.22,4,25,31.5,5024004088159,
TO00041,LYNDA MILES T/AS MILES APART,RAW/5,STAT RINGBINDER 2 X DESIGNS,5012128088155,36,0,0.52,36,18.72,0.22,4,25,31.5,5024004088159,
TO00041,LYNDA MILES T/AS MILES APART,REB/3,"STAT,DUPLICATE RECEIPT BOOK,1-80",5012128498527,96,12,0.28,96,26.88,0.14,1.5,10,13,5024004985274,5024004581759
TO00041,LYNDA MILES T/AS MILES APART,REMB15,DIARIES FASHION POCKET WTV FAUX LEAT,5012128403200,96,24,0.38,192,72.96,0.04,1,7,10.5,5024004675229,5024004675236
TO00041,LYNDA MILES T/AS MILES APART,REPR,PRINCESS - REWARD CHART,5012128344046,36,0,0.53,36,19.08,0.18,36,1.6,25,5024004547700,.
TO00041,LYNDA MILES T/AS MILES APART,RETT,TRANSPORT - REWARD CHART,5012128344053,36,0,0.53,36,19.08,0.18,36,1.6,24,5024004547724,.
TO00041,LYNDA MILES T/AS MILES APART,SAPS,SS - SACKS GIANT PLASTIC X 2,5012128412110,48,0,0.5,48,24,0.08,33.5,25.5,0.3,5024004688540,
TO00041,LYNDA MILES T/AS MILES APART,SASA,SS SACKS SANTA HOHOHO,5012128412042,36,0,2.5,36,90,0.16,76,50,6,5024004688403,
TO00041,LYNDA MILES T/AS MILES APART,SBTO,SS MISC PACK OF 4 TOPPERS,5012128412134,48,24,0.45,48,21.6,0.02,21.5,13,4,5024004688588,5024004688595
TO00041,LYNDA MILES T/AS MILES APART,SCCH,MISC HATS STRIPED TRIM HAT,5012128414251,48,0,0.5,48,24,0.04,50,25,3,5024004690840,
TO00041,LYNDA MILES T/AS MILES APART,SCDD,DIARIES SECRET PHOTO PUPPY & KITTEN,5012128410376,30,0,0.47,30,14.1,0.16,1,15.5,14,5024004685563,5024004685570
TO00041,LYNDA MILES T/AS MILES APART,SCGR,DIARIES SECRET GIRLS X 2 DESIGNS,5012128410383,30,0,0.47,30,14.1,0.16,1,15.5,14,5024004685587,5024004685594
TO00041,LYNDA MILES T/AS MILES APART,SCK,PARTY - 15 X GLOW STICKS IN A TUBE,5012128089442,48,24,0.5,48,24,0.08,26.1,3.5,3.5,5024004089446,
TO00041,LYNDA MILES T/AS MILES APART,SCLA,SS XMAS MISS CLAUS OUTFIT,5012128412080,24,0,1.85,24,44.4,0.14,41,27,1,5024004688489,
TO00041,LYNDA MILES T/AS MILES APART,SCLX,SS STOCKINGS DELUXE 50CM,5012128412028,48,0,0.53,48,25.44,0.04,45,28,1,5024004688366,
TO00041,LYNDA MILES T/AS MILES APART,SCNN,"STAT A5 TWINWIRE NBOOK, 70SH, 80GS",5012128415609,48,24,0.54,48,25.92,0.22,1.5,15.5,21,5024004693087,5024004693094
TO00041,LYNDA MILES T/AS MILES APART,SCOU,STAT-FONT A6 DESIGN NOTEBOOK 100SH,5012128415616,24,12,0.4,24,9.6,0.14,1.5,11,15,5024004693100,5024004693117
TO00041,LYNDA MILES T/AS MILES APART,SCOV,STAT-FONT A4 TWINWIRE NOTEBOOK 70SH,5012128415623,24,12,1,24,24,0.4,1.5,22,30,5024004693124,5024004693131
TO00041,LYNDA MILES T/AS MILES APART,SCOW,STAT-FONT DESIGN 5 BALPOINT PENS,5012128415630,24,12,0.48,24,11.52,0.06,1.5,10.5,20.5,5024004693148,5024004693155
TO00041,LYNDA MILES T/AS MILES APART,SDPM,WRAP 3M - FEMALE DESIGNS X 4,5012128312151,48,0,0.46,48,22.08,0.14,70,3.5,3.5,5024004472125,N/A
TO00041,LYNDA MILES T/AS MILES APART,SFCAR,SOFIA THE FIRST CARRY ALONG COLOURIN,5012128424335,12,6,0.55,24,13.2,0.12,17.5,11.5,2,5024004707241,
TO00041,LYNDA MILES T/AS MILES APART,SFPPK,SOFIA THE FIRST PLAY PACK,5012128424274,24,12,0.58,24,13.92,0.12,35,21.5,1.5,5024004707166,
TO00041,LYNDA MILES T/AS MILES APART,SGST,SS STOCKING - SUPE5R SIZE,5012128411854,36,0,2.5,36,90,0.28,94,84,1,5024004688144,
TO00041,LYNDA MILES T/AS MILES APART,SLNB,STAT-SLOGANS A5 NOTEBOOK 80SH 70GSM,5012128415432,24,0,0.54,48,25.92,0.2,0.8,14.5,21,5024004692769,N/A
TO00041,LYNDA MILES T/AS MILES APART,SLPC,STAT- SLOGAN RETANGLE PENCIL CASE,5012128414725,24,12,0.5,24,12,0.04,3,11,22,5024004691427,5024004691434
TO00041,LYNDA MILES T/AS MILES APART,SLTT,STOCKING - LETTER TO SANTA,5012128411885,42,0,0.98,42,41.16,0.12,56,32.5,1,5024004688182,
TO00041,LYNDA MILES T/AS MILES APART,SMK,PAINT - PLAY APRON,5012128539312,36,12,0.57,36,20.52,0.16,45.2,0.8,25.4,5024004539316,5024004582510
TO00041,LYNDA MILES T/AS MILES APART,SPCRP,SPIDERMAN CARRY PACK,5012128424007,20,10,1.1,20,22,0.24,35,22,0.7,5024004706701,
TO00041,LYNDA MILES T/AS MILES APART,SPEN,COLOURING - 6 ROLLER STAMPER PENS,5012128344268,36,12,0.52,36,18.72,0.08,19.2,2.5,18.5,5024004548158,5024004548165
TO00041,LYNDA MILES T/AS MILES APART,SPEN/1,COLOURING - 5 STAMPER PENS,5012128344268,36,12,0.52,36,18.72,0.08,19.4,15.7,2.5,5024004548158,5024004548165
TO00041,LYNDA MILES T/AS MILES APART,SPET,PET - STOCKING CAT AND DOG NOVELTY,5012128412035,42,0,0.5,42,21,0.04,43.5,30.5,1,5024004688380,
TO00041,LYNDA MILES T/AS MILES APART,SPSTP,SPIDERMAN STICKER PAD,5012128423932,24,12,0.58,24,13.92,0.16,29.5,21,0.5,5024004706565,
TO00041,LYNDA MILES T/AS MILES APART,SPYM,ALB - SPOT/STRIPE 10SHT SELF ADHES,5012128412691,12,6,1.12,24,26.88,0.58,2.5,25,29,5024004689202,5024004689219
TO00041,LYNDA MILES T/AS MILES APART,SPYN,"ALB - SPOT/STRIPE 4X6"" - 200 PHOTOS",5012128412707,12,6,1.98,24,47.52,0.76,5.5,22.5,23,5024004689226,5024004689233
