Code,Description,Barcode,Type,Inner,Outer,Total,Cases,OrderPrice
5095,A4 White Card 30 x 150 gsm Sheets,5013922050959,O,12,48,48,1,0.48
4061/48,"Invoice Book, 100 sets                       ",5013922040615,O,12,48,48,1,0.55
4056/96,10 Clear plastic Punched pockets      ,5013922040561,O,12,96,96,1,0.16
4055,80 Clear plastic Punched pockets      ,5013922040554,O,5,30,30,1,0.95
6706,A4 Notebook 120 Pages Spots design,5013922067063,O,12,36,36,1,0.80
6707,A5 Notebook 120 Pages Spots design,5013922067070,O,12,48,48,1,0.50
6703,A4 Notebook 120 Pages Retro band design,5013922067032,O,12,36,36,1,0.80
6704,A5 Notebook  120 Pages Retro band design,5013922067049,O,12,48,48,1,0.50
4670,"15 C4 White peel & seal Envelopes   80gsm",5013922046709,O,20,80,80,1,0.48
4671,15 C4 Manila P/S Envelopes 80gsm ,5013922046716,O,20,80,80,1,0.48
4672,"30 C5 White peal & seal Envelopes80gsm",5013922046723,O,10,80,80,1,0.48
4673,"30 C5 Manila peal & seal Envelopes80gsm",5013922046730,O,10,80,80,1,0.48
4674/48,"50 DL White peal & seal Envelopes80gsm",5013922046747,O,12,48,48,1,0.48
4678,"50 C6 White peal & seal Envelopes80gsm",5013922046785,O,12,72,72,1,0.48
5160/48,100m ball of white String,5013922051604,O,12,48,48,1,0.48
4251/48,100 Money Wallets 70 x 105mm,5013922042510,O,12,48,48,1,0.48
4238,Bubble Envelope Size J - Bulk,5013922042381,O,1,50,50,1,0.35
4239,Bubble Envelope Size K - Bulk,5013922042398,O,1,50,50,1,0.35
4219,"5 Bubble Envelopes Size C 150 x215",5013922042190,O,1,24,24,1,0.46
