Description,PackSize,UnitValue,LineValue,Barcode,IndividualPrice,Price2DPRounDUP,ProductCode,ProdDescription
488686 - CYCLAX LAVENDER MASSAGE POT,6,3.99,7.98,5000444015160,0.665,0.67,488686 ,CYCLAX LAVENDER MASSAGE POT
148321 - CYCLAX LAVENDER SCRUB POT,6,3.99,7.98,5000444023462,0.665,0.67,148321 ,CYCLAX LAVENDER SCRUB POT
400401 - CYCLAX VITAMIN E POT,6,3.99,7.98,5000444014897,0.665,0.67,400401 ,CYCLAX VITAMIN E POT
263913 - DAZ POWDER REG 90W,1,7.89,15.78,8001090396532,7.89,7.89,263913 ,DAZ POWDER REG 90W
936031 - DEEP BLUE TOILETRY BAG MENS 2 ASST,12,7.92,15.84,5050895213400,0.66,0.66,936031 ,DEEP BLUE TOILETRY BAG MENS 2 ASST
158180 - DENTIMINT MOUTHWASH F/MINT,6,2.99,5.98,5010159894745,0.498333333,0.5,158180 ,DENTIMINT MOUTHWASH F/MINT
735095 - DISH CLOTHS COTTON 10PK,12,6.96,13.92,5050895061476,0.58,0.58,735095 ,DISH CLOTHS COTTON 10PK
783995 - DISH CLOTHS PREMIUM LARGE 5PK,12,6.96,13.92,5050895080699,0.58,0.58,783995 ,DISH CLOTHS PREMIUM LARGE 5PK
679673 - DOVE SOAP BAR REGULAR 2PK,24,14.40,14.40,000700000012,0.6,0.6,679673 ,DOVE SOAP BAR REGULAR 2PK
235574 - DR BECKMANN COLOUR & DIRT COLLECTOR,12,7.29,14.58,5010287475250,0.6075,0.61,235574 ,DR BECKMANN COLOUR & DIRT COLLECTOR
955734 - DR BECKMANN EASY IRON,6,4.19,8.38,5010287476516,0.698333333,0.7,955734 ,DR BECKMANN EASY IRON
350348 - DR BECKMANN GLOW WHITE TRAVEL WASH,12,5.99,11.98,5010287362000,0.499166667,0.5,350348 ,DR BECKMANN GLOW WHITE TRAVEL WASH
219643 - DR BECKMANN PWR DESCALE 2 PACK,6,10.99,10.99,5010287497054,1.831666667,1.84,219643 ,DR BECKMANN PWR DESCALE 2 PACK
984791 - DR BECKMANN SPRAY STARCH,6,4.19,8.38,5010287476509,0.698333333,0.7,984791 ,DR BECKMANN SPRAY STARCH
260067 - DR BECKMANN STAIN DEVILS PREWASH,6,6.69,13.38,5010287378032,1.115,1.12,260067 ,DR BECKMANN STAIN DEVILS PREWASH
219651 - DR BECKMANN STAIN SLAYER,6,7.79,15.58,5010287365902,1.298333333,1.3,219651 ,DR BECKMANN STAIN SLAYER
047343 - DR JOHNSON ANTISEPTIC LIQUID,12,3.99,7.98,5025416330027,0.3325,0.34,047343 ,DR JOHNSON ANTISEPTIC LIQUID
046743 - DR JOHNSON STERILISE FLUID,12,7.35,14.70,5025416330034,0.6125,0.62,046743 ,DR JOHNSON STERILISE FLUID
835514 - DRI PAK BICARB SODA,6,4.15,12.45,5011289001775,0.691666667,0.7,835514 ,DRI PAK BICARB SODA
835522 - DRI PAK BORAX SUBSTITUTE CLEAN,6,4.15,12.45,5011289002116,0.691666667,0.7,835522 ,DRI PAK BORAX SUBSTITUTE CLEAN
175548 - DRI PAK SOAP FLAKES LIQ,6,8.99,26.97,5011289002178,1.498333333,1.5,175548 ,DRI PAK SOAP FLAKES LIQ
213885 - DRI PAK WASH SODA CRYSTALS,6,3.29,26.32,5011289000297,0.548333333,0.55,213885 ,DRI PAK WASH SODA CRYSTALS
735079 - DUSTERS YELLOW 10PK,12,6.60,13.20,5050895061438,0.55,0.55,735079 ,DUSTERS YELLOW 10PK
138356 - EASY W/UP LIQUID LEMON,12,4.49,4.49,5000185111565,0.374166667,0.38,138356 ,EASY W/UP LIQUID LEMON
138348 - EASY W/UP LIQUID ORIGINAL,12,4.49,4.49,5000185111589,0.374166667,0.38,138348 ,EASY W/UP LIQUID ORIGINAL
282244 - ESSENTIAL CAUSTIC SODA POWDER,6,4.09,40.90,5011962550132,0.681666667,0.69,282244 ,ESSENTIAL CAUSTIC SODA POWDER
150631 - ESSENTIAL DISINFECTANT LAV,4,2.75,5.50,5011962530011,0.6875,0.69,150631 ,ESSENTIAL DISINFECTANT LAV
150623 - ESSENTIAL DISINFECTANT PINE,4,2.75,5.50,5011962530004,0.6875,0.69,150623 ,ESSENTIAL DISINFECTANT PINE
150615 - ESSENTIAL WASH MACHINE CLEAN,6,3.59,10.77,5011962114617,0.598333333,0.6,150615 ,ESSENTIAL WASH MACHINE CLEAN
043140 - FACE CLOTH ASST COLS(R),12,3.96,15.84,5023674117060,0.33,0.33,043140 ,FACE CLOTH ASST COLS(R)
271031 - FACE CLOTHS 4PK (C),25,15.00,30.00,5026705065927,0.6,0.6,271031 ,FACE CLOTHS 4PK (C)
172354 - FACE CLOTHS MICRO 3PK ASST(R),12,7.20,14.40,5023674115813,0.6,0.6,172354 ,FACE CLOTHS MICRO 3PK ASST(R)
165507 - FINISH DISHWASHER TABLETS POWERBALL,4,25.00,25.00,4002448086079,6.25,6.25,165507 ,FINISH DISHWASHER TABLETS POWERBALL
865933 - FRUCTIS SHAMPOO 2IN1 NORMAL,6,4.49,8.98,3600540413420,0.748333333,0.75,865933 ,FRUCTIS SHAMPOO 2IN1 NORMAL
022660 - GILLETTE FOAM REGULAR,6,4.05,12.15,3014260000318,0.675,0.68,022660 ,GILLETTE FOAM REGULAR
046800 - GILLETTE FOAM SENSITIVE,6,4.05,12.15,7702018980932,0.675,0.68,046800 ,GILLETTE FOAM SENSITIVE
774655 - GLADE SOLID LAVENDER GEL,8,5.49,5.49,50204649,0.68625,0.69,774655 ,GLADE SOLID LAVENDER GEL
275247 - GLADE SOLID LILY GEL,8,5.49,5.49,50204977,0.68625,0.69,275247 ,GLADE SOLID LILY GEL
631160 - HANKIES MENS BOXED 3PK (R),12,7.60,7.60,5020133160155,0.633333333,0.64,631160 ,HANKIES MENS BOXED 3PK (R)
903676 - HARRINGTONS METAL POLISH WADD(D),12,7.69,7.69,5025416220038,0.640833333,0.65,903676 ,HARRINGTONS METAL POLISH WADD(D)
252750 - HELLO KITTY TOOTHBRUSH,6,3.79,7.58,0672935790051,0.631666667,0.64,252750 ,HELLO KITTY TOOTHBRUSH
958663 - HOME CARE HOB BRITE CREAM,6,5.49,10.98,5011962117007,0.915,0.92,958663 ,HOME CARE HOB BRITE CREAM
958639 - HOME CARE SHINY SINKS CREAM,6,4.19,16.76,5011962116000,0.698333333,0.7,958639 ,HOME CARE SHINY SINKS CREAM
207577 - IMPERIAL LEATHER A/P DEODORANT ORIGINAL,6,4.59,9.18,5000101779046,0.765,0.77,207577 ,IMPERIAL LEATHER A/P DEODORANT ORIGINAL
289456 - IMPERIAL LEATHER SOAP ORIGINAL 3PK,12,8.19,32.76,5000101118548,0.6825,0.69,289456 ,IMPERIAL LEATHER SOAP ORIGINAL 3PK
053268 - IMPERIAL LEATHER TALC ORIGINAL,6,4.99,14.97,5000101018145,0.831666667,0.84,053268 ,IMPERIAL LEATHER TALC ORIGINAL
989262 - INSETTE 2/1 A/F BERRIES,12,4.09,4.09,5012334002365,0.340833333,0.35,989262 ,INSETTE 2/1 A/F BERRIES
298999 - INSETTE 2/1 A/F JASMINE,12,4.09,4.09,5012334002341,0.340833333,0.35,298999 ,INSETTE 2/1 A/F JASMINE
000292 - INSETTE 2/1 A/F ROSE/SUMMER,12,4.09,4.09,5012334004321,0.340833333,0.35,000292 ,INSETTE 2/1 A/F ROSE/SUMMER
053216 - INSETTE 2/1 A/F SPRING FLOWERS,12,4.09,4.09,5012334004314,0.340833333,0.35,053216 ,INSETTE 2/1 A/F SPRING FLOWERS
105545 - IRON BOARD COVER ASST(R),6,11.40,22.80,5023674110047,1.9,1.9,105545 ,IRON BOARD COVER ASST(R)
680240 - J&J COTTON BUDS 200S,6,4.79,19.16,5000207584506,0.798333333,0.8,680240 ,J&J COTTON BUDS 200S
282905 - LENOR SOFTNER MIXED,12,9.60,9.60,8001090207494,0.8,0.8,282905 ,LENOR SOFTNER MIXED
299060 - LIQUID POWER SINK & DRAIN UNBLOCKER,12,7.69,7.69,5025416770014,0.640833333,0.65,299060 ,LIQUID POWER SINK & DRAIN UNBLOCKER
282228 - LUX VELVET TOUCH SOAP JASMINE & ALMOND 4PK,36,36.00,36.00,8901030561030,1,1,282228 ,LUX VELVET TOUCH SOAP JASMINE & ALMOND 4PK
794265 - MORNING FRESH W/UP ORIG +50%,16,9.79,9.79,5000101988790,0.611875,0.62,794265 ,MORNING FRESH W/UP ORIG +50%
841660 - MORNING FRESH W/UP Z/LEMON+50%,16,9.79,9.79,5000101989421,0.611875,0.62,841660 ,MORNING FRESH W/UP Z/LEMON+50%
136813 - MR MUSCLE TOILET BLEACH LIMESCALE,8,5.35,10.70,5000204711301,0.66875,0.67,136813 ,MR MUSCLE TOILET BLEACH LIMESCALE
269648 - NAIL CLIPPER 2PK RUBBER GRIP ASSORTED COLOURS,24,13.92,13.92,8711252013695,0.58,0.58,269648 ,NAIL CLIPPER 2PK RUBBER GRIP ASSORTED COLOURS
"752198 - NEUTRADOL CARPET DEODORIZER ORIGINAL+50G",12,7.65,7.65,5013912908277,0.6375,0.64,752198 ,"NEUTRADOL CARPET DEODORIZER ORIGINAL+50G"
752205 - NEUTRADOL CRPET S/FRSH+50G,12,7.65,7.65,5013912908284,0.6375,0.64,752205 ,NEUTRADOL CRPET S/FRSH+50G
045282 - NEUTRADOL GEL CONC ORIG,12,7.69,15.38,5013912359345,0.640833333,0.65,045282 ,NEUTRADOL GEL CONC ORIG
331117 - NEUTRADOL GEL CONC S/FRESH,12,7.69,15.38,5013912900066,0.640833333,0.65,331117 ,NEUTRADOL GEL CONC S/FRESH
174061 - NICKY SOFT FAMILY TISSUES,15,6.99,20.97,8004260422307,0.466,0.47,174061 ,NICKY SOFT FAMILY TISSUES
260373 - NICKY SOFT TOUCH TOILET TISSUE,5,6.79,81.48,8004260428460,1.358,1.36,260373 ,NICKY SOFT TOUCH TOILET TISSUE
260381 - NICKY SOFT TOUCH TOILET TISSUE,10,6.99,83.88,8004260428392,0.699,0.7,260381 ,NICKY SOFT TOUCH TOILET TISSUE
537611 - NICKY TALENT KITCHEN TOWEL,6,4.09,49.08,8004260481137,0.681666667,0.69,537611 ,NICKY TALENT KITCHEN TOWEL
934241 - OUST ALL PURPOSE DESCALER,6,6.09,24.36,5000325030527,1.015,1.02,934241 ,OUST ALL PURPOSE DESCALER
091661 - OUST ALL PURPOSE DESCALER,6,5.39,32.34,5000325018990,0.898333333,0.9,091661 ,OUST ALL PURPOSE DESCALER
658718 - OUST DISHWASHER CLEANER,6,7.35,14.70,5000325005853,1.225,1.23,658718 ,OUST DISHWASHER CLEANER
952144 - PAMPERS BABY WIPES FRESH REFILL,12,7.39,14.78,4015400622840,0.615833333,0.62,952144 ,PAMPERS BABY WIPES FRESH REFILL
176281 - PAROZONE PLUS BLEACH LIMESCALE REMOVER,9,6.09,12.18,5000185112401,0.676666667,0.68,176281 ,PAROZONE PLUS BLEACH LIMESCALE REMOVER
977283 - PAROZONE TOILET WIPES,8,5.20,5.20,5000185113484,0.65,0.65,977283 ,PAROZONE TOILET WIPES
981309 - PAROZONE TOILET WIPES CITRUS,8,5.20,5.20,5000185103652,0.65,0.65,981309 ,PAROZONE TOILET WIPES CITRUS
227381 - PAW PATROL TOOTHBRUSH TWIN,12,6.89,13.78,5060228452413,0.574166667,0.58,227381 ,PAW PATROL TOOTHBRUSH TWIN
034507 - PEARS SOAP TRANSPARENT BAR,12,7.49,7.49,5000228009194,0.624166667,0.63,034507 ,PEARS SOAP TRANSPARENT BAR
004648 - PEPPA PIG TOOTHBRUSH TWIN,12,6.99,13.98,5060228450853,0.5825,0.59,004648 ,PEPPA PIG TOOTHBRUSH TWIN
174409 - PLEDGE M/S ORIG CLASSIC,6,4.09,12.27,5000204689204,0.681666667,0.69,174409 ,PLEDGE M/S ORIG CLASSIC
174417 - PLEDGE POLISH WOOD CLASSIC,6,4.09,12.27,5000204690088,0.681666667,0.69,174417 ,PLEDGE POLISH WOOD CLASSIC
768202 - POWER HOUSE TOILET BLOCK BLUE 6PK,12,6.96,13.92,5050895076067,0.58,0.58,768202 ,POWER HOUSE TOILET BLOCK BLUE 6PK
735946 - RADOX HAND WASH CLEAN & REFRSH(SP)(D),6,3.75,11.25,5000231052729,0.625,0.63,735946 ,RADOX HAND WASH CLEAN & REFRSH(SP)(D)
274225 - RADOX HAND WASH REVIVE MANDARIN,6,3.75,11.25,8711700953030,0.625,0.63,274225 ,RADOX HAND WASH REVIVE MANDARIN
158354 - RIGHT GUARD A/P EXT INVIS MEN,6,4.25,8.50,5012583203117,0.708333333,0.71,158354 ,RIGHT GUARD A/P EXT INVIS MEN
207937 - RIGHT GUARD EXTREME HEAT CONTROL,6,4.25,8.50,5012583204756,0.708333333,0.71,207937 ,RIGHT GUARD EXTREME HEAT CONTROL
277400 - SHAKE N VAC FRESH LEMON,12,9.39,9.39,5000204589498,0.7825,0.79,277400 ,SHAKE N VAC FRESH LEMON
277389 - SHAKE N VAC LILY OF VALLEY,12,9.39,9.39,5000204589467,0.7825,0.79,277389 ,SHAKE N VAC LILY OF VALLEY
277395 - SHAKE N VAC MAGNOLIA & VANILLA,12,9.39,9.39,5000204589436,0.7825,0.79,277395 ,SHAKE N VAC MAGNOLIA & VANILLA
875883 - SOFT MANSIZE 2PLY TISSUES,24,11.99,35.97,5017289004501,0.499583333,0.5,875883 ,SOFT MANSIZE 2PLY TISSUES
060150 - SUPERDENT TABLETS,12,6.69,40.14,5000146045472,0.5575,0.56,060150 ,SUPERDENT TABLETS
251611 - TUSK BODY SPRAY BLUE,12,4.35,4.35,5028748000040,0.3625,0.37,251611 ,TUSK BODY SPRAY BLUE
251603 - TUSK BODY SPRAY GREEN,12,4.35,4.35,5028748105417,0.3625,0.37,251603 ,TUSK BODY SPRAY GREEN
251596 - TUSK BODY SPRAY ORANGE,12,4.35,4.35,5028748105424,0.3625,0.37,251596 ,TUSK BODY SPRAY ORANGE
251588 - TUSK BODY SPRAY RED,12,4.35,4.35,5028748105400,0.3625,0.37,251588 ,TUSK BODY SPRAY RED
242100 - VAC FRESH SUMMER MEDOW,12,6.59,13.18,746984912341,0.549166667,0.55,242100 ,VAC FRESH SUMMER MEDOW
063616 - VIM SCOUR POWDER,8,4.99,19.96,5060002361559,0.62375,0.63,063616 ,VIM SCOUR POWDER
146581 - ZAZIE COMB SET 10PK,12,4.56,9.12,5050895242677,0.38,0.38,146581 ,ZAZIE COMB SET 10PK
767874 - ZAZIE COSMETIC BAG LG BLK/PINK ASS,12,7.92,15.84,5050895074506,0.66,0.66,767874 ,ZAZIE COSMETIC BAG LG BLK/PINK ASS
920688 - ZAZIE COSMETIC SPONGES 16PK,12,5.76,5.76,5050895194747,0.48,0.48,920688 ,ZAZIE COSMETIC SPONGES 16PK
920670 - ZAZIE COSMETIC WEDGES 16PK,12,5.76,5.76,5050895194723,0.48,0.48,920670 ,ZAZIE COSMETIC WEDGES 16PK
645096 - ZAZIE EMERY BOARDS CARDED 30PCE,24,10.08,10.08,5050895015424,0.42,0.42,645096 ,ZAZIE EMERY BOARDS CARDED 30PCE
146599 - ZAZIE HAIR BOBBLES 40PK,12,6.48,12.96,5050895242691,0.54,0.54,146599 ,ZAZIE HAIR BOBBLES 40PK
734758 - ZAZIE HAIR BRUSH SMALL ON DISPLAY,24,10.80,10.80,5050895060707,0.45,0.45,734758 ,ZAZIE HAIR BRUSH SMALL ON DISPLAY
122242 - ZAZIE HAIR GRIPS 250PK,24,13.44,13.44,5050895241724,0.56,0.56,122242 ,ZAZIE HAIR GRIPS 250PK
727323 - ZAZIE NAIL POLISH REMOVER,12,5.64,11.28,5037741980013,0.47,0.47,727323 ,ZAZIE NAIL POLISH REMOVER
070617 - ZOFLORA DISINFECTANT ASSTD A,12,5.89,23.56,5011309300512,0.490833333,0.5,070617 ,ZOFLORA DISINFECTANT ASSTD A
548759 - ZOFLORA DISINFECTANT ASSTD D,12,5.89,23.56,5011309300918,0.490833333,0.5,548759 ,ZOFLORA DISINFECTANT ASSTD D
